Indo-European Lexicon
Pokorny Master PIE Etyma
The table below lists Proto-Indo-European (PIE) etyma adapted from Julius Pokorny's book, Indogermanisches etymologisches Wörterbuch (Bern: Francke, 1959, 1989). Entry head-words are listed, with their page numbers and cross-references to other entries (following Pokorny) plus our own English glosses; for more information, the reader is referred to the book. Some misprints in Pokorny have been corrected, including repairs to diacritics and missing, incorrect, or extraneous homograph numbers.

In our table, cross-references under "See also" may include IE links to our own lists of more modern Indo-European reflexes -- words derived from the ancient Proto-Indo-European etyma. IE reflex lists are under active construction (see our IE Lexicon home page): they are subject to change at any time, and might possibly exhibit errors not yet corrected. See our Language Index page for links from reflexes (listed by IE language) to their PIE etyma.

Pokorny head-word entries with page numbers, cross-references, and English glosses
Page(s)	Pokorny entry	See also	English gloss
127	bhendh-	IE   	to tie, bind
127-28	bheng̑h-, bhn̥g̑h-, adj. bhn̥g̑hú-s	IE   	fat, thick, dense
128-32	1 bher-	IE    bhren-	to bear, bring, carry
132-33	2 bher-	IE    bh(e)reu-	to boil, swell, well up
133-35	3 bher-	IE    bhrēi-	to bore, cut, scrape, use sharp tool
135-36	4 bher-	IE    bhereg-	to hum, buzz
136-37	5 bher-	IE    bherəg̑-	shining; bright brown
137	6 bher-	IE   	to cook, bake, fry, roast
137-38	7 bher-		to plait, weave
138	bheredh-, bhṛdho-	IE   	to cut; board
138-39	bhereg-	IE    2. bherem-	(onomatopoeic: to bark, cry, roar, etc.)
139-40	bherəg̑-, bhrēg̑-	IE    bherək̑-	to shine; bright, white
140-41	bhereg̑h-, bherg̑hos-	IE    bherg̑h-	high, noble; barrow, mountain
141-42	bherək̑-, bhrēk̑-	IE    bhebhru-	to shine, glitter
142	1 bherem-	IE   	to stand out; brim, edge, hem
142-43	2 bherem-	IE    bhlos-q-	to hum, buzz, drone
143	bheres-	IE   	quick, festinate
143-45	bh(e)reu- : bh(e)rū̆-	IE    bhrag-	to brew, boil, surge, be wild
145	bherg̑h-	IE    bhereg̑h-	to keep, hide, bury
145	bherug-, bhrug-, bhorg-		throat
145-46	1 bhes-	IE    bhoso-s	to spread, smear, rub on
146	2 bhes-	IE    perd-	to blow, breathe
146-50	bheu-, bheu̯ə-, bhu̯ā-, bhu̯ē- : bhō̆u- : bhū-	IE   	to be, exist; grow, prosper
150-52	bheudh-, nasalized bhu-n-dh-	IE   	to awaken, be aware
152	1 bheug-	IE   	to flee, escape, seek refuge
152	2 bheug-, bheugh-		to free, put away
152-53	3 bheug-, bheugh-	IE   	to bow, flex, bend, crook
153	4 bheug-	IE   	to enjoy
153	bhidh-	2. bheidh-	pot, vat, cauldron
153-54	bhili-, bhilo-	IE   	good, friendly, harmonious
154	bhlag̑-	IE   	to hit, flog, flail
154	bhlagh-men-	IE   	priest, flamen, wizard
154-55	bhlē-	IE    bhlē̆d-	to bleat, weep, howl
155	bhlē̆d-, bhl̥d-	IE    baba-	to boil, bubble up; boast, chatter
155	bhlegu̯-	IE   	to swell, become bloated
155-56	1 bhlē̆i- : bhləi- : bhlī-	IE    bhlē̆ig̑-	to shine, glitter
156	2 bhlei-	IE    bhleu-	to swell, burst, blow up
156-57	bhlē̆ig̑-, bhlīg̑-	IE    bhleiq-	to shine, glitter
157	bhleiq-	bhləido-s	to shine, glitter
157-58	bhlendh-	IE    bhles-	dim, pale, blond, reddish
158	bhles-	IE    1. bhlēu-	to shine, glitter
158-59	bhleu-	IE    3. bhel-	to bloat, swell, blow up; flow
159	1 bhlēu- : bhləu- : bhlū-	IE    bhleu-(k-)	to shine, glitter
159	2 bhlēu- : bhləu- : bhlū-	IE    bhleus-	bad, weak, miserable
159-60	bhleu-(k-)	IE    bhlē-u̯o-s	to burn
160	bhlē-u̯o-s	IE    1. bhel-	a light color (blue, yellow)
160	bhleus-	bheleu-	mild, weak
160	bhləido-s	1. bhlē̆i-	pale, light
160-61	bhlīg̑- : *bhlēig-	IE   	to hit, strike, inflict
161	bhlō̆k-	IE   	flock, tow, wool; cloth?
161	bhlos-q-	4. bher-	(onomatopoeic: to bark, cry, roar, etc.)
161	bhog-	IE    bheg-	beck, flowing water
161	bhō̆gh-, or bhā̆gh-	IE    bhā̆gh-	bog, swamp, lowland
161-62	bhōi- : bhəi- : bhī-, bhii̯ə-	IE   	to fear, be afraid
162	bhok-	IE   	to burn?
162	bholo-		mist, smoke, steam?
163	bhorgu̯o-s	2. bhag-	gruff, unfriendly
163	bhoso-s	IE    1. bhes-	bare, naked
163	bhoudhi-		victory
163	bhouku̯os		a buzzing insect
163	bhrag-, better bhrə-g-	IE    2. bher-	to scent, smell
163-64	bhrā́ter-	IE   	brother, family member
164	bhred(h?)-		to wade, wander
165	1 bhreg̑-	IE    bhre(n)k̑-	to break
166	2 bhreg̑-	IE   	to stick up
166-67	bhrēi-, bhrī̆-	IE    1. bhrē̆u-	to fray, pierce, cut with sharp tool
167	bhren-	IE    bhrendh-	to bulge, stick out; edge, brink
167-68	bhrendh-	IE    bhrenk-	to sprout, swell up
168	bhrenk-, bhronk-	IE    2. bhrēu-	to bring
168	bhre(n)k̑-	bhres-	to err, be ensnared
168-69	bhren-to-s		deer, horned animal
169	bhres-	IE    1. bhreg̑-	to burst, break
169	bhreu-, bhreu-d-	IE    1. bhreu-s-	to swell, sprout
169	1 bhrē̆u-, bhrū̆-	IE    bhreu-k̑-	to break, cut, pierce
170	2 bhrēu-, bhrū-	1. bher-	edge
170	bhreu-k̑-	IE    2. bhreu-s-	to strike, throw
170-71	1 bhreu-s-	IE    bhrugh-no-	to swell, sprout
171	2 bhreu-s-	IE    bhroisqo-	to bruise, break to pieces
171-72	3 bhreus-, bhrū̆s-	IE   	to boil, sound, etc.
172	bhroisqo-, bhrisqo-	3. bher-	bitter
172-73	1 bhrū-	IE   	brow, eyebrow
173	2 bhrū-, bhrēu-	IE   	beam, bridge
173	bhrūg-	IE   	fruit; to brook, enjoy
174	bhrugh-no-	bhreu-	twig
174	bhudh-m(e)n	IE   	base, ground, bottom, fundament
174	bhū̆g̑o-s, familiar form bhukko-s	IE   	buck, goat
175	dā-	IE   	fluid; river; to flow
175-79	dā : də-, and dāi- : dəi-, dī̆-	IE    3. del-	to share, divide
179	dāiu̯ēr, genitive daiu̯rés	IE   	brother-in-law
179	dak̑ru-	IE    ak̑ru	tear (from the eye)
179-81	dāu-, dəu-, dū̆-	IE   	to burn, injure, torment
181	*dəg̑h-mó-	dəg̑h-mó-s	slanting
181-83	de-, do-	IE   	I-deictic; here
183	dē- : də-, and dēi-, dī-	IE   	to tie, bind
183	dēg-	IE   	to take, grab, pack?
183-87	1 dei-, dei̯ə-, dī-, di̯ā-	IE   	to shine, glitter; day, sun; god, deity
187	2 dei̯ə-, di̯ā-, di̯ə-, dī-	IE   	to move, spin, swing
187-88	deig̑h-	IE   	to itch, prick; tick
188-89	deik̑-	IE   	to teach, show
189-91	1 dek̑-	IE    des-	to take
191	2 dek̑- : dok̑-, dēk̑-	IE    denk̑-	to tear, rip to pieces
191-92	dek̑m̥, dek̑m̥-t, dek̑u-	IE    u̯ī-k̑m̥t-ī	ten, decade
193	1 del-	IE   	to tell, count, calculate
193-94	2 del-		to shake, totter
194-96	3 del-, dol-, delə-	IE    1. dhā̆bh-	to split, divide
196	4 del-	IE   	to rain, dribble
196-97	5 del-	IE   	long
198-99	dem-, demə-	IE   	to build, timber; house, domicile
199-200	demə-, domə-, domə-	IE   	to tame
201	demel-		worm?
201	denk̑-	IE    2. dek̑-	to bite
201-2	1 dens-	IE    2. dens-	to learn; mental power
202-3	2 dens-	IE    1. dens-	dense
203	deph-	IE   	to push, stamp, thrust
203	1 der- : dōr-, der-, or dōr- : dər-	IE    4. der-	hand span
203-4	2 der-, reduplicated der-der-, dr̥dor-, broken reduplication dor-d-, dr̥-d-	IE    3. dher-	(onomatopoeic: to mutter, grumble)
204-6	3 der-, drā-, dreb-, drem-, dreu-	IE   	to run, trip, tread, tramp
206-11	4 der-, heavy-base derə-, drē-	IE    1. der-	to cut, skin, split, tear
211-12	derbh-	IE   	to wind, put together
212	der(ep)-	IE    derk̑-	to see?
212	derə-, drā-	IE   	to work
212-13	dergh-	IE   	to grasp
213	derk̑-	IE    der(ep)-	to look
214-17	deru-, dō̆ru-, dr(e)u-, drou-, dreu̯ə- : drū-	IE   	firm, solid; tree, wood
217	des-, dēs-	1. dek̑-	to find
217-18	1 deu-	IE   	to sink in, plunge into
218-19	2 deu-, or dou- : du-	IE   	to worship, venerate; mighty
219-20	3 deu-, deu̯ə-, du̯ā-, dū-	IE   	to pass, move forward
220-21	deuk-	IE   	to tug, pull, drag, tow
221-22	deup- : kteup-?		(onomotopoeic: dull thud)
222	dəg̑h-mó-s	gei-	slanting
222	digh-	IE   	goat
222	dī̆p-ro-, dī̆p-erā		sacrificial animal
222	dl̥kú-	IE   	sweet, dulcet
223	dn̥g̑hū, dn̥g̑hu̯ā	IE   	tongue
223-26	dō- : də-, also dō-u- : dəu- : du-	IE   	to give, donate
226	dous-		arm
226	drē- : drə-, extended dr-ē̆m-	IE   	to sleep
226-27	dreg̑h-		vexed, displeased, unwilling
227	dumb-, dumbh-?	IE   	tail, penis
227	dus-	IE   	bad, foul, evil
227-28	du̯ei-	IE   	to fear
228-32	du̯ō(u)	IE    gu̯is-ti-s	two, duo
233	1 dhā̆bh-, nasalized dhamb(h)-	IE    dā	to be speechless, astonished; to dab, be touched, affected
233-34	2 dhabh-	IE   	to fix, suit; proper
234	dhā̆l-	IE    2. dhel-	to bloom, be green
234	dhanu-, or dhonu-	IE   	(type of tree)
235	dhau-	IE   	to press, strangle
235	1 dhē-, reduplicated dhē-dh(ē)-	IE    dhē(i)-	older family member (nursery word)
235-39	2 dhē-	IE    u̯eidh-	to do, put, place, set
239	3 dhē-, dhə-	IE   	to disappear, pass away
239	dheb-	IE   	fat, thick, heavy
240	dhebh-, dhebh-eu-	IE    dhembh-	to harm, injure
240-41	dhegu̯h-	IE   	to burn
241-42	dhē(i)-, also dh-ei-?	IE    1. dhē-	to suck, suckle
243	dhei̯ə- : dhi̯ā- : dhī-	IE   	to look, see, show
243-44	dhēigu̯- : dhōigu̯- : dhīgu̯-	IE   	to dig, plant, stab, stick
244-45	dheig̑h-	IE   	to build, knead clay
245-46	1 dhel-, dholo-	IE   	curve; dell, hollow
246	2 dhel-	IE    dhā̆l-	to light; shining
246	3 dhel-	IE   	to tremble
246	dhelbh-	IE   	to dig, delve, bury
247	dhelg-	IE   	to stab, stick; needle
247	dhelgh-, dhelg-	IE   	to hit
247-48	dhem-, dhemə-	IE   	to blow, fly about like dust
248-49	dhembh-, dhm̥bh-	IE    dheu-b-	to dig
249	1 dhen-	IE   	to flow, run
249	2 dhen-	IE   	flat of hand, surface of land, etc.
249-50	3 dhen-	IE   	to hit, ding, push, thrust
250	1 dhengh-	IE   	to press, cover
250	2 dhengh-	IE   	to get, grip, reach
251-52	1 dher-, dherə-	IE    4. dher-	dirt, dreg, some type of deposit
252-55	2 dher-, dherə-	IE   	to hold, support
255-56	3 dher-, dhereu-, dhrē̆n-	IE    2. der-	(onomatopoeic: to drone, growl, purr, etc.)
256	4 dher- : dhor- : dher-	IE    5. dher-	to jump (at)
256	5 dher-, dhrei-d-	IE    1. dher-	to defecate; dirt
257	dherāgh-	IE    dhreg̑-	to drag, pull
257	dherbh-, dherəbh-?	IE   	to work
257-58	dherebh-	IE   	to harden; coagulated
258	dheregh-		bushy plants
258	dhereg̑h-, dhr̥g̑h-nā-	IE   	to turn, wind
259	dhers-	IE   	to dare, be bold
259	dhēs-, dhəs-	IE   	(used in religious terms)
259-60	1 dheu-	IE   	to flow, run
260-61	2 dheu-, dhu̯-ēi-	IE   	to die, faint, vanish
261	3 dheu-		to shine brightly
261-67	4 dheu-, dheu̯ə-, presumably dhu̯ē-, compare suffixes dhu̯ē-k-, dhu̯ē̆-s-	IE    dheu̯es-	to blow, dissipate, fly about like dust, etc.
267-68	dheu-b-, dheu-p-	IE    dhebh-	deep, hollow
268	dheubh-, dhubh-	IE   	peg, wedge
268-71	dheu̯es-, dhu̯ē̆s-, dheus-, dhū̆s-	IE    4. dheu-	to blow, dissipate, fly about like dust, etc.
271	dheugh-	IE   	to milk, press, touch
271	dhlas-, or dhels- : dhl̥s-		to press, squeeze; squash?
271-72	dhl̥gh-	IE   	debt, guilt, duty
272	dhō-		to sharpen
272	dhō[u]- : dhū-		rope?
272-73	dhrebh-	IE   	to drub, crush, grind to pieces
273	dhreg̑-	IE    terk-	to pull
273	1 dhregh-	IE   	to run
273-74	2 dhregh-	IE   	to hurt, torment
274	dhreibh-	IE   	to drive, push, thrust
274-75	dhreu-	IE   	to grind, crumble
275	1 dhreugh-		to shake, tremble
276	2 dhreugh-	IE   	to harm, deceive
276	dhrigh-, or dhreikh-		hair, bristle
276-77	dhrono-		multicolored?
277	dhug(h)əter-	IE   	daughter
277	dhu̯en-, dhun-	IE   	to hum, drone
277	dhu̯er-, dhu̯erə-		to harm by trickery/deception
278-79	dhu̯ē̆r-, dhu̯ō̆r-, dhur-, dhu̯r̥-	IE   	door
279	dhu̯ergh- : drugh-	IE   	crippled, dwarf-like, low in stature
280-81	1 ē̆, ō̆	IE    1. o	(particle: he, this, etc.)
281	2 ē, ō	IE    2. ō	oh (vocative interjection)
281-86	3 e-, ei-, i-, fem. ī-	IE    i̯āi	(demonstrative particle: one, this, etc.)
287	ebhi? : obhi : bhi	epi	from, around, (up) to, etc.
287-89	ed-	IE   	to eat
289-90	1 edh-		tip, point
290	2 edh-	IE   	fence of stakes
290	eg-	IE   	lack (of something)
290-91	ēg̑-, ōg̑-, əg̑-	IE   	to say, speak
291	eg̑-, eg̑(h)om, eg̑ō	IE    1. me-	ego, I (pronoun)
291-92	eg̑hero-	IE   	(inland) lake
292	eg̑hi-	angu̯(h)i-	hedgehog
292-93	eg̑hs, eg̑hz	IE   	from, out of, ex-
293	egnis : ognis	IE   	fire
293	ehem, eheu, eho	IE   	aha! oho! (exclamation)
293-97	1 ei-	IE    i̯ā-	to go, exit
297	2 ē̆i	oiu̯ā	O (vocative particle)
297-98	3 ei-	IE   	bright; reddish
298	4 ei- : oi-	IE   	pole, stake
298	eibh- : oibh-, i̯ebh-	IE    i̯ebh-	to copulate
298	eig-, oig-	IE   	to lament, complain
